Weight_kg,Horsepower,Cylinders,Fuel_Type,Road_Type,Age_years,Mileage_km_per_l
1431,216,5,Petrol,City,6,12
2128,147,5,Diesel,City,17,12.1
1754,80,3,Diesel,Highway,17,17.33
2108,61,5,Petrol,Highway,24,12
2442,157,3,Petrol,Highway,13,12
1246,129,6,Diesel,Highway,24,14.85
620,215,6,Diesel,City,12,13.05
1440,116,4,Petrol,Highway,25,12
766,243,3,Diesel,Highway,24,13.65
1897,101,6,Petrol,City,2,12
987,182,6,Petrol,City,14,12
1200,188,4,Petrol,Highway,5,13.24
915,74,4,Diesel,Highway,8,20.54
613,84,4,Petrol,Highway,15,14.41
841,212,3,Petrol,City,9,12
1376,71,5,Petrol,City,16,12
1969,214,3,Diesel,City,13,12.01
1164,232,4,Diesel,City,22,12
1497,145,5,Petrol,City,15,12
1963,166,6,Petrol,Highway,4,12.51
691,249,3,Diesel,Highway,25,13.42
1990,241,4,Diesel,Highway,16,13.37
1555,69,4,Diesel,Highway,12,18.69
2078,155,5,Petrol,Highway,20,12
2051,53,3,Diesel,Highway,22,16.39
1108,67,6,Petrol,Highway,12,14.18
1375,100,6,Petrol,City,15,12
634,245,5,Diesel,Highway,5,16.68
805,69,5,Petrol,City,1,13.55
1704,171,6,Petrol,Highway,20,12
2185,186,5,Diesel,Highway,3,16.27
2495,129,5,Petrol,City,8,12
2011,203,3,Petrol,City,7,12
1625,151,5,Diesel,Highway,13,16.18
1621,74,4,Petrol,Highway,10,14.16
2013,245,4,Diesel,Highway,17,13.09
1165,218,4,Diesel,Highway,11,15.84
1729,108,5,Petrol,Highway,8,13.5
2395,94,6,Petrol,City,23,12
2445,90,4,Diesel,City,15,13.19
2100,87,3,Diesel,City,12,14.39
1302,166,5,Petrol,Highway,18,12
1001,68,6,Petrol,Highway,10,14.62
1329,63,6,Petrol,City,12,12
2179,176,5,Diesel,City,4,13.35
761,198,5,Petrol,Highway,15,12
801,192,3,Petrol,Highway,18,12
1595,52,5,Petrol,Highway,25,12
869,86,5,Petrol,Highway,13,14.18
2486,166,6,Diesel,Highway,24,12.55
1415,223,4,Diesel,City,17,12
1894,65,4,Petrol,City,1,12.55
1055,191,6,Petrol,Highway,24,12
2085,58,5,Diesel,Highway,5,19.19
2350,56,3,Petrol,Highway,17,12.67
1875,191,4,Diesel,Highway,20,13.92
1616,183,5,Diesel,Highway,18,14.57
2325,64,4,Diesel,Highway,9,18.1
895,229,6,Diesel,Highway,10,15.62
2348,121,4,Petrol,Highway,22,12
1319,211,6,Diesel,City,25,12
2372,153,6,Petrol,Highway,17,12
937,178,6,Petrol,City,1,12
1478,145,3,Diesel,City,4,15.37
1676,171,5,Diesel,Highway,18,14.75
1391,164,6,Diesel,Highway,15,15.6
816,246,6,Petrol,City,15,12
1363,197,4,Diesel,Highway,1,17.89
787,129,5,Diesel,Highway,22,16.11
979,56,3,Diesel,Highway,24,17.53
1092,184,3,Petrol,City,1,12
1664,99,4,Diesel,Highway,11,18
1780,179,3,Diesel,City,11,13.19
614,96,4,Diesel,Highway,6,20.92
2436,63,5,Petrol,Highway,1,14.4
664,80,4,Diesel,City,14,15.9
2480,99,4,Petrol,City,24,12
2462,238,6,Petrol,City,6,12
1120,90,3,Petrol,Highway,17,13.58
1967,63,5,Petrol,Highway,9,13.85
1752,182,5,Petrol,City,17,12
1247,54,6,Diesel,City,25,13.22
2095,241,4,Diesel,Highway,14,13.55
1686,206,5,Petrol,Highway,19,12
1762,54,5,Petrol,Highway,8,14.44
2122,162,4,Petrol,Highway,24,12
1192,167,4,Petrol,Highway,23,12
991,145,5,Diesel,City,12,14.26
2298,85,4,Diesel,Highway,2,19.02
1018,128,3,Petrol,Highway,3,15.21
888,68,5,Petrol,Highway,21,13.16
978,241,4,Petrol,City,13,12
2396,71,5,Diesel,City,5,14.96
2113,211,5,Petrol,Highway,18,12
830,105,6,Diesel,Highway,1,20.73
1617,66,3,Diesel,City,5,16.7
640,233,3,Petrol,Highway,21,12
1651,66,6,Diesel,City,12,14.73
734,195,6,Petrol,City,19,12
800,222,5,Diesel,City,24,12
2463,127,3,Petrol,Highway,6,12.92
1379,105,6,Petrol,City,2,12
1529,129,4,Petrol,Highway,2,14.45
1656,99,5,Petrol,City,20,12
1671,107,3,Petrol,City,13,12
1102,67,5,Petrol,City,14,12
1006,184,5,Diesel,City,6,14.37
2197,125,4,Diesel,City,12,13.35
2351,59,4,Petrol,Highway,25,12
1404,118,6,Diesel,City,13,13.9
698,134,4,Petrol,City,24,12
1283,180,3,Diesel,Highway,8,17.44
2495,132,6,Diesel,Highway,14,14.9
1325,158,3,Petrol,City,18,12
2170,93,3,Petrol,Highway,4,14.21
1560,247,6,Diesel,City,6,12.2
2362,191,4,Diesel,City,22,12
1212,181,5,Diesel,City,6,14.18
2085,67,4,Diesel,Highway,15,17.23
1242,142,3,Diesel,City,24,12.48
2392,229,3,Diesel,Highway,24,12.04
1628,87,6,Petrol,City,13,12
1841,197,3,Diesel,City,7,13.34
1102,221,6,Petrol,Highway,13,12
1366,100,6,Diesel,City,21,12.98
997,68,4,Petrol,City,6,12.86
1470,169,3,Petrol,Highway,6,13.36
1394,117,4,Petrol,Highway,14,13.05
992,115,5,Petrol,City,3,12.29
806,190,4,Diesel,City,11,13.93
1638,239,3,Petrol,Highway,13,12
2481,238,5,Petrol,City,3,12
2177,207,3,Diesel,City,12,12.04
1491,147,5,Diesel,Highway,23,14.58
2084,207,3,Diesel,Highway,22,13.19
2314,228,4,Petrol,City,21,12
2198,137,3,Diesel,Highway,22,14.46
1463,225,6,Petrol,Highway,22,12
1342,82,6,Petrol,Highway,20,12.39
1864,154,4,Petrol,City,5,12
1163,123,4,Diesel,City,13,14.55
1620,131,5,Petrol,Highway,23,12
695,68,4,Petrol,Highway,11,15.3
2357,120,6,Petrol,City,17,12
1084,106,4,Diesel,City,10,15.51
2030,196,6,Diesel,City,12,12
830,128,4,Petrol,City,6,12.05
1348,218,6,Petrol,Highway,5,12.1
2278,91,5,Petrol,Highway,22,12
1794,229,3,Petrol,City,1,12
1140,165,3,Diesel,City,20,12.82
1659,53,6,Petrol,Highway,24,12
1124,53,4,Diesel,City,20,14.71
1783,54,4,Petrol,City,15,12
2462,90,3,Petrol,Highway,16,12.14
2322,157,6,Diesel,Highway,10,15.3
1866,136,4,Petrol,City,24,12
1709,153,3,Petrol,City,8,12
2419,166,6,Diesel,City,2,13.31
1177,150,5,Petrol,Highway,22,12
1281,238,4,Diesel,City,7,12.96
1156,124,4,Diesel,Highway,23,15.75
2197,232,6,Petrol,City,1,12
1612,124,3,Diesel,City,20,13.03
1245,62,6,Diesel,Highway,23,16.45
1395,191,3,Petrol,Highway,6,13.01
1651,237,6,Petrol,City,13,12
2243,249,5,Petrol,Highway,12,12
2179,74,4,Diesel,City,19,13.17
1963,164,3,Petrol,Highway,17,12
2421,221,5,Diesel,Highway,5,14.75
1954,131,6,Petrol,City,24,12
2263,59,3,Petrol,Highway,15,13.03
2129,248,3,Petrol,City,14,12
1971,99,5,Diesel,Highway,3,18.78
2096,221,6,Diesel,Highway,5,14.99
1854,191,5,Diesel,City,25,12
789,64,6,Petrol,City,14,12
1848,65,5,Petrol,Highway,8,14.12
2008,51,5,Petrol,City,11,12
2000,207,5,Petrol,City,25,12
1906,79,5,Petrol,City,15,12
1232,131,6,Petrol,City,13,12
1227,80,4,Petrol,Highway,5,15.36
1572,126,5,Diesel,City,13,13.76
2368,197,6,Petrol,Highway,3,12
1882,226,4,Petrol,City,13,12
1982,163,3,Diesel,City,11,13.25
1309,84,3,Petrol,City,9,12.05
2079,72,5,Petrol,City,4,12
2034,155,3,Diesel,Highway,17,15.24
1248,146,5,Petrol,City,15,12
917,164,5,Diesel,City,18,13.02
2300,149,4,Petrol,Highway,16,12
1848,238,3,Diesel,City,24,12
2442,104,5,Petrol,City,2,12
1857,244,3,Diesel,City,6,12.49
1283,57,4,Petrol,City,12,12
1263,217,3,Diesel,Highway,5,17.04
2450,108,4,Petrol,Highway,25,12
1997,177,4,Petrol,Highway,24,12
2295,81,4,Petrol,Highway,17,12.15
2231,142,5,Diesel,City,19,12
2095,56,6,Diesel,City,12,14.31
1856,51,5,Petrol,Highway,5,14.83
2315,134,3,Petrol,City,24,12
1736,183,5,Diesel,City,7,13.35
2453,155,5,Diesel,Highway,2,16.76
2120,85,6,Diesel,Highway,12,16.84
1041,209,3,Diesel,Highway,23,14.26
1163,94,4,Diesel,City,5,16.52
1891,91,4,Diesel,City,22,12.75
2133,102,3,Petrol,City,8,12
2430,159,5,Petrol,City,5,12
2009,58,6,Petrol,City,16,12
2010,136,6,Diesel,City,9,13.42
1736,163,3,Diesel,Highway,1,18.47
2236,124,3,Petrol,Highway,5,13.4
2248,226,5,Petrol,Highway,1,12
1551,179,6,Diesel,Highway,17,14.69
1704,244,3,Petrol,City,1,12
1298,60,5,Petrol,Highway,15,13.8
712,99,5,Diesel,Highway,5,20.57
601,212,3,Petrol,Highway,9,13.06
1241,171,6,Petrol,Highway,18,12
819,192,4,Diesel,City,6,14.65
2189,124,5,Diesel,Highway,21,14.48
1454,80,4,Diesel,City,12,15.19
2359,141,5,Diesel,Highway,14,15.14
1848,239,6,Petrol,City,7,12
984,205,4,Petrol,Highway,7,12.87
2026,202,3,Diesel,City,19,12
2261,141,5,Diesel,City,6,13.65
1753,202,3,Diesel,City,3,13.92
1676,124,3,Petrol,Highway,16,12.49
2307,141,6,Petrol,Highway,16,12
1329,178,3,Petrol,Highway,18,12
2295,236,5,Diesel,City,5,12
2333,246,3,Diesel,City,20,12
2039,91,3,Petrol,City,4,12
846,159,5,Petrol,Highway,16,12.41
1435,211,3,Diesel,Highway,4,17.12
2062,243,6,Diesel,City,24,12
802,67,5,Diesel,Highway,13,19.49
1807,126,6,Diesel,City,14,13.1
722,182,3,Diesel,Highway,17,16.46
1000,69,4,Diesel,City,3,17.67
1366,243,6,Diesel,City,25,12
893,176,6,Diesel,City,3,14.92
879,124,3,Petrol,Highway,17,13.24
2460,111,4,Petrol,Highway,13,12.04
1483,81,5,Petrol,City,21,12
2233,235,4,Diesel,Highway,20,12.56
797,227,5,Petrol,Highway,10,12.04
1581,215,3,Petrol,City,24,12
2134,232,4,Petrol,Highway,12,12
1351,77,3,Diesel,Highway,9,19.78
743,123,6,Diesel,Highway,21,16.26
1208,130,4,Diesel,Highway,1,20
1824,71,5,Petrol,City,4,12
1747,220,6,Petrol,Highway,19,12
786,213,5,Diesel,Highway,6,17.15
1949,145,6,Petrol,Highway,15,12
1063,171,5,Petrol,City,18,12
1972,172,5,Diesel,City,5,13.56
2394,101,3,Diesel,City,8,14.36
1259,213,6,Diesel,Highway,11,15.35
1363,205,3,Diesel,City,5,14.06
1554,127,3,Diesel,Highway,21,15.77
1002,235,3,Diesel,City,8,13.4
1969,213,3,Diesel,City,11,12.31
2134,119,5,Diesel,Highway,21,14.66
746,186,3,Diesel,City,20,12.86
1771,70,3,Diesel,City,10,15.52
1463,113,3,Diesel,City,9,15.25
2334,125,5,Diesel,City,2,14.45
2443,110,6,Petrol,City,17,12
1088,144,5,Diesel,Highway,4,18.92
1528,89,5,Petrol,Highway,12,13.49
2263,233,5,Petrol,City,19,12
1150,53,6,Petrol,Highway,25,12.26
937,80,3,Diesel,Highway,19,18.19
1471,204,3,Diesel,City,19,12
1240,235,6,Diesel,City,7,12.67
2402,202,6,Diesel,Highway,13,13.73
1072,118,4,Petrol,City,2,12.47
750,119,3,Petrol,Highway,8,14.94
2038,54,5,Diesel,Highway,6,19.16
1921,164,5,Diesel,City,11,12.91
2234,140,3,Diesel,City,9,13.67
862,57,6,Diesel,Highway,8,20.45
2387,58,4,Petrol,Highway,20,12
743,64,5,Diesel,City,24,14.03
945,154,4,Petrol,City,20,12
1223,56,5,Diesel,City,15,15.21
1616,121,5,Diesel,City,21,12.53
2195,164,3,Diesel,City,11,12.97
1480,64,5,Diesel,City,15,14.71
601,214,4,Diesel,Highway,23,14.47
1496,132,4,Diesel,Highway,22,15.31
1927,88,3,Petrol,City,5,12
853,183,5,Petrol,Highway,16,12
2275,106,4,Diesel,Highway,2,18.54
1052,141,6,Petrol,Highway,15,12.46
1660,130,3,Diesel,Highway,5,18.71
1783,196,6,Petrol,Highway,15,12
1614,176,4,Diesel,Highway,23,14.04
608,240,6,Petrol,Highway,11,12
1856,208,3,Diesel,Highway,6,16.21
1722,124,6,Petrol,City,6,12
2282,128,4,Petrol,City,5,12
1415,59,6,Diesel,City,25,12.94
807,156,6,Diesel,City,1,15.8
1754,136,6,Diesel,Highway,20,14.79
1003,116,5,Diesel,City,7,15.68
751,111,4,Diesel,City,16,14.79
653,180,6,Petrol,Highway,17,12
1743,195,4,Diesel,City,15,12.16
2296,202,6,Diesel,City,20,12
1227,156,3,Petrol,Highway,22,12
1186,197,3,Petrol,City,10,12
2248,235,3,Petrol,City,8,12
2043,142,6,Diesel,Highway,23,13.74
2045,135,4,Diesel,Highway,9,16.91
703,227,3,Petrol,City,23,12
2475,170,5,Petrol,City,19,12
853,128,3,Diesel,City,10,15.58
1850,59,3,Petrol,Highway,20,12.75
1735,198,5,Diesel,City,3,13.61
1109,78,3,Petrol,City,25,12
2096,145,6,Petrol,City,11,12
698,59,6,Diesel,City,11,16.34
752,62,3,Petrol,Highway,8,16.1
2484,96,4,Petrol,Highway,10,12.68
1513,200,4,Diesel,City,9,13.19
1477,99,3,Diesel,City,10,15.35
937,181,5,Petrol,Highway,10,12.77
2329,165,6,Diesel,Highway,18,13.77
1421,162,6,Diesel,Highway,5,17.44
1786,244,6,Diesel,Highway,5,14.86
2343,134,3,Petrol,City,7,12
1556,102,6,Petrol,Highway,20,12
2304,179,3,Petrol,Highway,20,12
760,117,3,Petrol,City,8,12.23
2203,242,4,Petrol,City,17,12
1400,128,5,Petrol,City,6,12
997,106,5,Petrol,City,25,12
1900,146,5,Diesel,City,13,12.98
1415,247,6,Diesel,City,13,12
2127,184,4,Petrol,City,13,12
2015,196,4,Petrol,Highway,16,12
1758,221,3,Diesel,Highway,2,16.71
1818,112,4,Petrol,City,5,12
1000,114,3,Petrol,Highway,10,14.41
1239,88,4,Petrol,Highway,10,14.39
1656,158,3,Diesel,City,25,12
1287,75,6,Diesel,Highway,11,18.63
1059,221,4,Diesel,Highway,20,14.3
1554,61,5,Petrol,Highway,25,12
1069,199,3,Diesel,Highway,24,14.26
1998,126,4,Diesel,City,9,14.05
1645,191,4,Petrol,Highway,13,12
1349,135,3,Petrol,Highway,13,13.12
2293,79,4,Petrol,City,2,12
637,221,5,Petrol,Highway,5,13
829,215,3,Diesel,City,25,12
1988,236,3,Diesel,Highway,5,15.47
1162,219,3,Petrol,Highway,12,12
1037,101,3,Petrol,City,20,12
2399,112,3,Petrol,City,8,12
1906,238,5,Petrol,City,6,12
626,169,3,Petrol,Highway,18,12.54
825,154,5,Diesel,City,8,14.93
1900,211,5,Petrol,City,21,12
1397,88,5,Diesel,Highway,23,15.94
2232,90,3,Petrol,City,20,12
883,170,5,Diesel,Highway,25,14.49
1478,157,3,Petrol,Highway,2,14.16
1559,214,5,Petrol,City,10,12
2104,114,3,Diesel,City,25,12
1052,167,4,Diesel,Highway,20,15.54
1619,128,4,Diesel,City,6,14.99
2452,209,5,Diesel,Highway,5,14.99
1415,57,6,Diesel,City,16,14.53
1258,146,6,Diesel,City,3,15.1
2139,67,4,Diesel,Highway,23,15.53
1146,222,5,Diesel,Highway,4,16.75
1815,145,5,Petrol,City,1,12
1672,82,5,Petrol,Highway,14,13.13
2135,54,6,Petrol,City,14,12
616,176,4,Diesel,City,24,12.35
1795,123,5,Diesel,Highway,19,15.43
1843,175,4,Petrol,Highway,6,12.61
757,213,4,Diesel,Highway,12,16.35
1076,200,3,Petrol,City,18,12
1669,217,6,Diesel,City,9,12.28
1996,54,4,Diesel,Highway,20,16.63
1117,83,3,Diesel,Highway,23,16.95
698,73,6,Diesel,City,25,13.52
2368,194,5,Petrol,City,13,12
1660,144,5,Petrol,Highway,19,12
879,120,3,Petrol,Highway,13,13.96
1972,141,5,Diesel,City,19,12.09
1096,174,3,Petrol,City,19,12
901,71,3,Petrol,Highway,21,13.5
780,64,5,Petrol,City,10,12.42
1206,150,6,Petrol,City,6,12
1722,64,3,Petrol,City,3,12.7
1299,202,6,Petrol,Highway,16,12
1592,102,6,Diesel,City,9,14.61
1739,198,3,Diesel,Highway,17,14.69
790,151,6,Diesel,City,23,12.39
852,243,3,Diesel,City,9,13.25
1580,162,5,Petrol,Highway,5,13.1
1527,81,5,Petrol,Highway,19,12.54
1784,70,5,Diesel,City,15,14.2
1879,245,5,Petrol,Highway,10,12
1946,221,5,Petrol,Highway,4,12
727,132,6,Petrol,Highway,24,12
617,243,6,Diesel,City,12,12.48
2416,63,6,Petrol,Highway,14,12.34
2358,64,4,Diesel,City,15,13.76
1165,197,4,Diesel,Highway,19,14.89
1169,83,3,Petrol,Highway,5,15.62
1946,213,4,Diesel,City,12,12.01
2495,132,5,Diesel,City,3,13.94
1285,58,5,Diesel,Highway,15,18.47
2415,248,5,Diesel,City,15,12
1225,207,3,Diesel,City,12,13.14
1911,126,3,Petrol,Highway,15,12.33
1453,240,3,Petrol,Highway,6,12
2286,212,3,Diesel,City,17,12
1561,190,6,Diesel,Highway,23,13.39
2262,223,3,Diesel,City,15,12
754,233,3,Diesel,City,15,12.68
1089,58,4,Diesel,City,11,16.32
2009,85,6,Diesel,Highway,22,15.09
1384,166,5,Diesel,City,12,13.37
1727,52,4,Petrol,Highway,22,12.5
2016,68,3,Diesel,City,19,13.69
2434,205,5,Petrol,City,1,12
845,72,5,Petrol,City,16,12
1799,153,5,Diesel,Highway,11,16.25
1662,184,4,Petrol,Highway,1,13.32
2100,154,6,Diesel,City,23,12
2305,191,6,Petrol,City,4,12
1358,95,5,Petrol,Highway,6,14.51
1137,192,3,Diesel,City,4,14.78
2490,244,6,Petrol,Highway,24,12
2441,64,6,Petrol,City,25,12
1520,100,3,Petrol,City,2,12.47
1007,159,4,Petrol,Highway,17,12.28
1124,57,4,Diesel,Highway,1,22.19
1427,118,3,Petrol,Highway,13,13.34
2129,239,4,Diesel,City,12,12
1502,228,5,Diesel,City,23,12
2448,112,6,Diesel,Highway,2,17.53
635,117,4,Diesel,City,19,14.29
1284,193,5,Petrol,City,12,12
619,201,5,Petrol,City,4,12
920,55,5,Petrol,Highway,25,12.67
2399,168,5,Petrol,Highway,18,12
1111,106,5,Diesel,City,2,16.59
999,80,3,Diesel,City,1,18.06
1253,55,6,Petrol,City,24,12
1571,206,6,Diesel,Highway,13,14.75
1070,116,3,Diesel,Highway,24,16.08
1766,180,3,Diesel,Highway,5,17.24
1715,205,5,Diesel,Highway,19,13.79
1977,123,4,Diesel,Highway,1,18.83
1433,163,6,Diesel,City,2,14.66
2423,146,4,Diesel,City,14,12.39
1326,225,6,Diesel,Highway,9,15.31
1453,129,5,Diesel,Highway,8,17.93
650,172,4,Petrol,Highway,11,13.32
2288,187,6,Petrol,Highway,4,12
2321,82,6,Diesel,City,3,14.93
1174,244,5,Petrol,City,5,12
1813,246,4,Diesel,City,24,12
1748,189,5,Diesel,City,14,12.22
749,234,4,Petrol,Highway,10,12.13
913,93,4,Petrol,Highway,6,15.36
1169,62,6,Diesel,Highway,10,19.36
1965,201,3,Diesel,City,11,12.54
904,221,4,Petrol,City,20,12
2315,106,4,Diesel,City,8,14.16
1281,145,5,Petrol,City,4,12
1437,193,4,Diesel,City,21,12
2406,158,4,Diesel,Highway,18,14.24
1677,169,4,Petrol,City,20,12
1602,149,4,Diesel,City,14,13.33
1043,198,4,Petrol,City,3,12
1212,160,3,Diesel,Highway,12,17.29
1592,100,6,Petrol,City,15,12
863,70,4,Diesel,City,24,13.99
1676,109,5,Petrol,Highway,8,13.54
2195,228,5,Petrol,Highway,14,12
1603,70,4,Petrol,Highway,23,12.2
2243,156,4,Petrol,City,6,12
604,175,4,Petrol,City,25,12
1726,183,3,Petrol,City,14,12
1819,122,6,Diesel,City,4,14.69
1373,242,5,Petrol,Highway,20,12
1476,125,3,Diesel,Highway,6,18.95
1591,235,3,Diesel,Highway,16,14.22
1483,127,4,Petrol,Highway,17,12.32
1973,183,6,Diesel,City,2,13.54
646,114,4,Diesel,Highway,18,17.77
1466,135,5,Petrol,City,13,12
1422,83,6,Petrol,City,20,12
1535,105,4,Petrol,Highway,16,12.79
2443,124,5,Petrol,City,21,12
1255,52,3,Diesel,City,13,16.08
868,219,5,Petrol,City,14,12
969,239,5,Petrol,Highway,18,12
1235,55,5,Petrol,City,8,12.35
1729,55,6,Diesel,City,5,16.01
2293,240,3,Diesel,City,24,12
2282,197,6,Petrol,Highway,9,12
1256,198,3,Petrol,City,15,12
719,51,4,Petrol,City,9,13.03
1430,139,4,Diesel,City,20,12.78
2410,105,5,Diesel,Highway,10,16.57
2227,145,5,Diesel,Highway,18,14.54
1681,59,6,Diesel,Highway,14,17.73
1969,136,3,Petrol,City,18,12
1340,119,3,Diesel,City,16,14.12
2097,200,3,Petrol,City,5,12
716,162,5,Petrol,City,10,12
2453,79,5,Petrol,City,20,12
1390,177,3,Petrol,Highway,6,13.3
1750,127,5,Diesel,Highway,9,17.31
2016,214,3,Petrol,City,23,12
1612,104,6,Diesel,Highway,16,16.44
2264,98,4,Diesel,Highway,11,17.03
1681,83,3,Diesel,City,20,13.68
1233,154,5,Petrol,City,23,12
1112,221,6,Petrol,Highway,18,12
2374,71,5,Petrol,Highway,5,13.76
1401,80,5,Petrol,City,9,12
1719,184,5,Petrol,City,11,12
2261,154,3,Diesel,City,9,13.37
1741,198,6,Petrol,Highway,4,12.17
1159,65,3,Diesel,Highway,8,20.66
2224,69,4,Diesel,City,5,15.48
1087,92,3,Diesel,City,3,17.28
1860,221,4,Diesel,City,22,12
1496,96,6,Petrol,City,4,12
1895,163,6,Petrol,City,16,12
1812,68,3,Petrol,Highway,13,13.76
1303,97,3,Diesel,Highway,3,20.63
2070,246,5,Diesel,City,4,12.09
1180,188,4,Diesel,City,1,15.05
1389,206,5,Diesel,City,8,13.15
1460,94,5,Diesel,Highway,9,18.58
846,245,6,Diesel,City,22,12
1699,213,3,Petrol,Highway,5,12.37
753,225,6,Diesel,Highway,12,15.56
2279,136,3,Petrol,City,9,12
2058,64,6,Petrol,City,4,12
1596,159,6,Petrol,City,17,12
1709,221,6,Diesel,City,12,12
1296,244,4,Petrol,City,13,12
1908,145,6,Petrol,Highway,11,12.01
1843,217,4,Diesel,Highway,23,12.91
1692,151,6,Petrol,City,17,12
1670,135,3,Petrol,City,15,12
1608,191,4,Diesel,City,9,13.26
693,240,3,Diesel,City,4,14.24
2373,130,3,Diesel,City,12,13.23
1557,100,3,Petrol,Highway,3,15.06
1611,161,4,Petrol,Highway,20,12
1052,235,5,Diesel,Highway,17,14.29
1827,64,4,Petrol,Highway,22,12.2
1511,114,5,Diesel,City,7,15.03
817,137,4,Diesel,City,7,15.71
1073,232,6,Diesel,City,21,12
1031,125,5,Petrol,Highway,12,13.42
940,59,6,Petrol,Highway,21,13.05
1150,91,5,Petrol,City,22,12
2235,144,4,Diesel,Highway,10,16.22
1912,60,4,Diesel,City,8,15.62
1877,167,5,Petrol,City,9,12
2357,193,6,Petrol,City,14,12
956,174,3,Petrol,City,6,12
622,250,5,Diesel,Highway,19,14.12
2385,127,5,Diesel,City,22,12
1121,196,6,Petrol,City,15,12
2381,208,3,Petrol,City,20,12
2460,250,5,Petrol,City,20,12
1723,230,3,Petrol,City,7,12
1401,139,3,Diesel,Highway,22,15.53
1803,57,4,Petrol,City,24,12
1846,201,6,Petrol,City,8,12
1361,185,5,Diesel,Highway,3,17.58
2282,160,5,Diesel,City,11,12.55
1041,225,3,Petrol,City,4,12
2231,207,5,Diesel,City,2,12.94
1368,107,3,Petrol,City,1,12.65
1615,135,5,Petrol,City,7,12
1948,104,6,Petrol,City,24,12
1115,250,5,Diesel,City,12,12.01
1639,171,3,Petrol,Highway,8,12.84
1391,239,3,Petrol,City,13,12
935,157,5,Diesel,City,6,15.05
2382,97,5,Diesel,City,7,14.17
857,181,3,Diesel,Highway,24,14.93
1096,214,4,Petrol,City,20,12
1495,185,4,Petrol,City,24,12
759,178,5,Petrol,City,6,12
2098,247,6,Petrol,Highway,12,12
1451,96,5,Petrol,City,7,12
2287,54,6,Diesel,Highway,10,17.64
1289,227,5,Diesel,Highway,7,15.89
2298,73,3,Petrol,City,24,12
979,224,5,Petrol,City,15,12
2168,67,6,Petrol,Highway,21,12
1556,133,6,Petrol,City,2,12
1290,205,5,Petrol,Highway,8,12.21
2050,54,5,Petrol,City,17,12
2236,79,4,Petrol,Highway,16,12.4
1891,50,5,Petrol,Highway,13,13.56
2458,135,5,Diesel,City,18,12
2200,131,3,Diesel,Highway,21,14.77
2040,223,6,Petrol,City,4,12
1791,118,4,Petrol,Highway,12,12.86
2465,80,3,Petrol,Highway,11,13.02
1666,247,5,Diesel,City,2,12.8
2179,140,6,Diesel,Highway,20,14.13
884,233,5,Petrol,Highway,23,12
996,142,5,Petrol,City,21,12
611,176,5,Petrol,Highway,16,12.35
2230,205,5,Petrol,Highway,13,12
1925,65,6,Petrol,Highway,4,14.41
1876,103,3,Diesel,Highway,2,19.63
1098,230,5,Petrol,Highway,18,12
1353,189,5,Petrol,City,1,12
634,69,4,Diesel,City,22,14.66
1326,131,4,Petrol,City,6,12
1448,211,6,Diesel,Highway,20,13.61
689,230,5,Diesel,City,25,12
